O + 6         8         7       5963164.(  )
    1 1S2               (1)0( 0.0)               0.0000
    2 1S1 2S1           (3)0( 1.0)         4526946.7472
    3 1S1 2P1           (3)1( 0.0)         4587887.8205
    4 1S1 2P1           (3)1( 1.0)         4588243.3693
    5 1S1 2P1           (3)1( 2.0)         4588974.2197
    6 1S1 2S1           (1)0( 0.0)         4594943.4899
    7 1S1 2P1           (1)1( 1.0)         4636123.9481
    8 1S1 3S1           (3)0( 1.0)         5343184.1973
    9 1S1 3P1           (3)1( 0.0)         5359515.7412
   10 1S1 3P1           (3)1( 1.0)         5359614.5048
   11 1S1 3P1           (3)1( 2.0)         5359815.9825
   12 1S1 3S1           (1)0( 0.0)         5360831.2720
   13 1S1 3D1           (3)2( 1.0)         5368692.8522
   14 1S1 3D1           (3)2( 2.0)         5368728.4071
   15 1S1 3D1           (3)2( 3.0)         5368791.6157
   16 1S1 3D1           (1)2( 2.0)         5369320.9885
   17 1S1 3P1           (1)1( 1.0)         5372722.4058
   -1
 7.00    3       9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
  14   4 1.20+11 5.44-01 5.59-01 5.71-01 5.89-01 6.35-01 7.00-01 8.09-01 1.05+00 1.33+00 1.68+00 2.25+00 2.73+00 3.24+00-8.30-01
  15   4 8.93+01 9.35-02 9.36-02 9.25-02 9.01-02 8.34-02 7.53-02 6.53-02 5.28-02 4.59-02 4.18-02 3.95-02 3.91-02 3.91-02 3.99-02
  16   4 5.97+08 8.06-02 7.82-02 7.62-02 7.30-02 6.56-02 5.67-02 4.56-02 3.12-02 2.30-02 1.80-02 1.57-02 1.62-02 1.77-02-4.12-03
  17   4 7.04+02 3.06-02 3.03-02 2.97-02 2.86-02 2.58-02 2.23-02 1.78-02 1.15-02 7.51-03 4.54-03 2.16-03 1.19-03 6.50-04 1.33-05
   6   5 1.00-30 2.00-01 1.24-01 8.95-02 6.98-02 6.67-02 6.65-02 5.63-02 3.54-02 2.21-02 1.28-02 5.83-03 3.10-03 1.61-03 0.00+00
   7   5 2.61-01 2.36-01 2.39-01 2.36-01 2.46-01 3.03-01 3.19-01 2.76-01 1.81-01 1.18-01 7.24-02 3.59-02 2.06-02 1.16-02 2.27-05
   8   5 1.07+10 7.85-01 6.16-01 4.14-01 2.58-01 1.38-01 9.15-02 6.73-02 5.75-02 6.26-02 7.64-02 1.05-01 1.31-01 1.60-01-4.91-02
   9   5 2.66+06 4.10-02 3.02-02 2.40-02 2.00-02 1.69-02 1.54-02 1.44-02 1.41-02 1.45-02 1.52-02 1.64-02 1.70-02 1.75-02 1.82-02
  10   5 1.99+06 1.05-01 8.20-02 6.87-02 5.96-02 5.13-02 4.63-02 4.20-02 3.82-02 3.70-02 3.72-02 3.84-02 3.93-02 3.99-02 4.10-02
  11   5 9.31+05 6.76-01 5.45-01 4.70-01 4.24-01 3.95-01 3.87-01 3.89-01 4.01-01 4.13-01 4.27-01 4.41-01 4.48-01 4.52-01 4.59-01
  12   5 5.59+01 5.34-02 3.85-02 2.85-02 2.16-02 1.55-02 1.20-02 8.86-03 5.34-03 3.35-03 1.98-03 9.10-04 4.86-04 2.54-04 0.00+00
  13   5 4.46+09 7.00-02 7.10-02 7.09-02 7.00-02 6.75-02 6.46-02 6.20-02 6.15-02 6.47-02 7.11-02 8.28-02 9.34-02 1.05-01-1.86-02
  14   5 3.99+10 2.75-01 2.81-01 2.84-01 2.87-01 2.95-01 3.08-01 3.34-01 4.01-01 4.85-01 5.98-01 7.82-01 9.41-01 1.11+00-2.77-01
  15   5 1.61+11 1.08+00 1.11+00 1.13+00 1.16+00 1.24+00 1.35+00 1.55+00 1.99+00 2.50+00 3.16+00 4.21+00 5.11+00 6.08+00-1.56+00
  16   5 2.73+08 1.29-01 1.25-01 1.21-01 1.16-01 1.03-01 8.83-02 6.96-02 4.46-02 2.98-02 1.97-02 1.27-02 1.06-02 1.01-02-1.89-03
  17   5 2.64+02 5.10-02 5.04-02 4.94-02 4.76-02 4.29-02 3.71-02 2.96-02 1.92-02 1.25-02 7.54-03 3.58-03 1.97-03 1.07-03 4.93-06
   7   6 2.60+07 2.47+00 2.58+00 2.66+00 2.76+00 3.00+00 3.27+00 3.65+00 4.30+00 4.87+00 5.46+00 6.23+00 6.78+00 7.32+00-7.36-01
   8   6 1.00-30 8.64-02 6.80-02 4.58-02 2.86-02 1.52-02 9.77-03 6.40-03 3.62-03 2.27-03 1.36-03 6.44-04 3.52-04 1.88-04 0.00+00
   9   6 1.00-30 7.64-03 5.60-03 4.31-03 3.42-03 2.59-03 2.06-03 1.54-03 9.37-04 5.86-04 3.43-04 1.56-04 8.30-05 4.31-05 0.00+00
  10   6 7.42+06 2.08-02 1.52-02 1.20-02 9.72-03 7.56-03 6.07-03 4.59-03 2.81-03 1.78-03 1.07-03 5.49-04 3.60-04 2.70-04-3.28-05
  11   6 1.48+02 3.97-02 2.83-02 2.16-02 1.71-02 1.30-02 1.03-02 7.72-03 4.69-03 2.93-03 1.72-03 7.82-04 4.15-04 2.15-04 0.00+00
  12   6 1.00-30 9.63-02 8.77-02 8.34-02 8.16-02 8.25-02 8.54-02 9.00-02 9.75-02 1.03-01 1.08-01 1.13-01 1.15-01 1.16-01 1.18-01
  13   6 1.00-30 1.11-02 1.12-02 1.10-02 1.07-02 9.67-03 8.39-03 6.70-03 4.32-03 2.80-03 1.68-03 7.83-04 4.21-04 2.20-04 0.00+00
  14   6 4.64+04 1.92-02 1.92-02 1.89-02 1.84-02 1.68-02 1.48-02 1.22-02 8.49-03 6.19-03 4.55-03 3.28-03 2.78-03 2.51-03 2.19-03
  15   6 2.30-02 2.63-02 2.61-02 2.57-02 2.49-02 2.26-02 1.96-02 1.56-02 1.01-02 6.52-03 3.91-03 1.83-03 9.81-04 5.14-04 0.00+00
  16   6 6.81+06 1.03-01 1.04-01 1.06-01 1.09-01 1.20-01 1.34-01 1.56-01 1.95-01 2.28-01 2.59-01 2.88-01 3.02-01 3.10-01 3.21-01
  17   6 5.38+10 5.23-02 5.32-02 5.47-02 5.75-02 6.57-02 7.83-02 1.01-01 1.55-01 2.20-01 3.06-01 4.50-01 5.76-01 7.14-01-2.26-01
   8   7 1.13+06 3.30-01 2.40-01 1.60-01 1.01-01 5.46-02 3.50-02 2.25-02 1.21-02 7.17-03 4.08-03 1.88-03 1.07-03 6.43-04-6.32-06
   9   7 2.44+00 4.49-02 3.03-02 2.16-02 1.59-02 1.13-02 8.75-03 6.55-03 4.04-03 2.58-03 1.54-03 7.19-04 3.87-04 2.03-04 0.00+00
